title,subtitle,author,synopsis,title_type,mission
The Greatest Salesman in the World,,Og Mandino,"Would you like to be the greatest version of you? Og Mandino's classic can help with that. The best selling book on sales ever written is really a fun fable about how to achieve success in any/ever domain. In the Note, we unroll the ""10 ancient scrolls"" of wisdom to discover that obstacles are our friends, good habits are essential and other such goodness.",PhilosophersNotes,Business
Love 101,How to optimize the love in your life,,"Want to optimize your relationship? My wife, Alexandra, joins us for this special class. Join us as we explore 10 of our favorite Big Ideas–starting with a definition of love then looking at the difference between falling in vs. standing in love and then some nuts and bolts Ideas on how to rock it.",101 Classes,Relationships
Happy Together,Using the Science of Positive Psychology to Build Love That Lasts,"Suzann Pileggi Pawelski, MAPP & James O. Pawelski Ph.D.","Suzie and James Pawelski are two of the world's leading positive psychologists. James cofounded the Master of Applied Positive Psychology program at the University of Pennsylvania with Martin Seligman while Suzie is a graduate of the program and a leading freelance writer and consultant. Together they've written an incredible book on ""Using the Science of Positive Psychology to Build Love That Lasts."" I’ve been waiting for a very long time for the book that would make me say: “READ THIS BOOK if you want to figure out how to integrate Ancient Wisdom + Modern Science + Practical Tools to Optimize your relationship.” And, well, THIS book is it. I HIGHLY recommend it. In fact, it's not only my #1 Love book recommendation, it's also cracked the Top 10 all-time greatest list. Big Ideas we explore include The Relationship Gym (hit it!), Aristotelian Lovers (the REAL Soul Mates), SNAP (James geniuses x2), Know Thy... (self and thy partner!), and Love Is an Action Verb (let's commit to flourishing together TODAY!).",PhilosophersNotes,Relationships
Love,What Life is All About,Leo Buscaglia,"The Doctor of Love is in da house! In this Note, we'll explore some of Buscaglia's Big Ideas on how to live with a lotta Love— starting with the fact that if we want to master the subject, we've gotta *study* it! We'll also look at how important it is to fully express ourselves and that a truly loving relationship is one in which both partners are committed to their own growth and supporting their love's growth. (P.S. My Goddess was the first chica I'd met who'd read this book and I think I fell in love on our 1st date when she told me she loved it, too!)",PhilosophersNotes,Relationships
The Seven Principles for Making Marriage Work,A Practical Guide from the Country's Foremost Relationship Expert,John M. Gottman & Nan Silver,"Want to make your relationship work? Then you’d be wise to turn toward the world’s leading researcher on the science of what makes love work: John Gottman. This book has sold over 1 million copies and it’s easy to see why. Big Ideas we explore: How Gottman can predict divorce with 91% accuracy (in < 15 minutes), a quick look at the 7 principles, the power of cherishing your partner, turning toward (and not being a tech rat), how to solve the solvable problems and starting “I love you” with the “I.”",PhilosophersNotes,Relationships
Nonviolent Communication,A Language of Life,Marshall B. Rosenberg,"Nonviolent Communication has sold over 1,000,000 copies. Why? It works. There are four key components to NVC: Observations + Feelings + Needs + Requests. In this Note, we'll take a quick look at each of them along with some other Big Ideas to communicate more compassionately.",PhilosophersNotes,Relationships
Self-Compassion,The Proven Power of Being Kind to Yourself,"Kristin Neff, Ph.D.","Kristin Neff established self-compassion as a field of study almost a decade ago—bringing the Buddhist practice of self-compassion into her labs so the benefits could be empirically validated. In this Note, we explore the three core elements of self-compassion (self-kindness + common humanity + mindfulness) and why it's so important for us to cultivate!",PhilosophersNotes,Relationships
Love 2.0,Finding Happiness and Health in Moments of Connection,Barbara Fredrickson,"Ready to upgrade your vision of love? Then you’re in for a treat with this fantastic book by Barbara Fredrickson. Barbara is one of the world’s leading positive psychologists. The book is incredibly well-written, deeply inspiring and incredibly practical as well. In fact, I just told Alexandra that this book might be the one that most positively impacts my life. Big Ideas we explore include: Love 1.0 vs. Love 2.0, taking a trip to Vagus, identifying our prevailing desire, #1 tip: create 3 loving moments today, exiting our cocoon of self-absorption via loving-kindness meditation, and Love 2.0 x 2: compassionate + celebratory love.",PhilosophersNotes,Relationships
The Art of Loving,,Erich Fromm,"Erich Fromm, a leading 20th century psychologist, tells us that love is an art--and that if we want to master love then we need to study it like we would any other art we want to master. In this Note, we’ll explore some Big Ideas on how to rock both the theory and the practice of love. Big Ideas include moving from “falling in” love to “STANDING in” love plus the need to get rid of the illusions of a perfect relationship. If you’re looking for more love in your life, you’ll dig it.",PhilosophersNotes,Relationships
Emotional Intelligence,The Groundbreaking Book That Redefines What it Means to be Smart,Daniel Goleman,"One of the classics of Positive Psychology, Daniel Goleman’s Emotional Intelligence established the fact that IQ doesn't account for why some of us succeed and function well and others don't. In this Note, we'll explore some (really) Big Ideas on how to scientifically get our emotional intelligence on—from the power of delaying gratification to how worrying can act as self-fulfilling prophecies.",PhilosophersNotes,Relationships
No Sweat,How the Simple Science of Motivation Can Bring You a Lifetime of Fitness,"Michelle Segar, Ph.D.","Dr. Michelle Segar is the world’s leading authority on what motivates people to choose and maintain healthy behaviors. As you’d imagine, Dr. Segar has some *really* powerful ideas on, as the sub-title suggests, “How the simple science of motivation can bring you a lifetime of fitness.” Big Ideas we explore include the importance of meaning, moving exercise from a chore to a gift and embracing a learning mindset.",PhilosophersNotes,Relationships
The Way to Love,The Last Meditations of Anthony de Mello,Anthony de Mello,"This is a tiny little pocket book featuring thirty-one inspiring, challenging meditations on how to love by Anthony de Mello, a mystical Jesuit priest who also wrote the great book Awareness that we cover. The book is a powerful, challenging look at how to break free from our conditioning, reprogram our minds and truly love. Big Ideas we explore include what it means to love, enjoying the symphony of life (by no longer clinging or renouncing), the art of looking (How are you THAT?), how to create freedom to make a fool of yourself, plus effort, effortlessness and fun.",PhilosophersNotes,Relationships
"Love, Medicine and Miracles",,Bernie S. Siegel,"Dr. Bernie Siegel has been a groundbreaking pioneer in the field of mind-body medicine and teaches us the power of love, self-acceptance and believing in ourselves in this classic. In the Note, we'll explore the power of placebo, embracing our perfectly imperfect selves, figuring out who we want to be when we grow up and other such goodness to help us become our highest, healthiest selves.",PhilosophersNotes,Relationships
The Dark Side of the Light Chasers,"Reclaiming Your Power, Creativity, Brilliance and Dreams",Debbie Ford,"How's your shadow? (You know, that part of yourself you just don't like too much that you try to repress/ignore/etc.) Debbie Ford's great book is a classic at helping us shine some light on our dark spots and live more fully integrated, authentic, compassionate and creative lives and in this Note, we'll have fun looking at how to find the gold in the dark.",PhilosophersNotes,Relationships
A Complaint Free World,How to Stop Complaining and Start Enjoying the Life You Always Wanted,Will Bowen,"Will Bowen committed to going 21-days without complaining, criticizing or gossiping and challenged his congregation to do the same. 7 million purple bracelets later, Bowen created a little revolution and in this Note, we’ll check out some Big Ideas on how to quit getting your complaint on. And why you should care. Big Ideas range from shutting down the complaint factory to the fact that we’re all self-made—but only the successful will admit it.",PhilosophersNotes,Relationships
Braving the Wilderness,The Quest for True Belonging and the Courage to Stand Alone,,"Brené Brown is one of the world’s most beloved teachers. We’ve covered two of her other #1 NY Times bestselling books: Daring Greatly and The Gifts of Imperfection. This book is all about helping us navigate our quests for true belonging—that sense of connection to yourself and to others that’s authentic, vulnerable, and courageous. First step: We need to know that it requires a trip into the hero’s forest of the unknown. Which demands “braving the wilderness.” Big Ideas we explore include deepening our understanding of that quest to true belonging, embracing paradox, the 4 practices of true belonging, how to deal with life’s challenges, and writing yourself a permission slip to be YOU.",PhilosophersNotes,Relationships
How to Win Friends and Influence People,,Dale Carnegie,"Dale Carnegie wrote this book in 1937. The publisher originally only printed 5,000 copies. It was an immediate best seller and went on to sell over 30 million copies. I’ve always had a very strong allergy to the idea of “networking” and trying to “win friends” and/or “influence people” so this one never quite resonated but I loved it. It’s packed with Big Ideas on how to Optimize our relationships and, perhaps in the process, win some more friends and influence some people as better humans and leaders. We explore: The #1 indispensable quality you need for Optimizing, Principle #1 of How to Win Friends (Never criticize!!), how to make a great first impression, the Golden Rule (you living it), what to do when you make a mistake, and what to think when you meet people today!",PhilosophersNotes,Relationships
The Charisma Myth,How Anyone Can Master the Art and Science of Personal Magnetism,Olivia Fox Cabane,"Charisma. The idea that you’re either one of the lucky few born with it or not is a MYTH. Fact is: We can all cultivate our personal magnetism. In this fun, quick-reading, compelling book, Olivia Fox Cabane walks us through the practical application of the art and science of deliberately dialing our charisma up. Big Ideas we cover: The Big 3 of charisma: Presence + Power + Warmth (and how to boost each), what gets in the way (and what to do about it), the power of visualization (#1 tip) and more.",PhilosophersNotes,Relationships
#134 Falling in Love vs. STANDING in Love,One’s a Lot Easier than the Other,,"It’s pretty easy to FALL in love. It’s considerably harder to STAND in love. And, simply seeing that distinction is a pretty big deal.",+1s,Relationships
#1016 Stoic Love Advice,Musonius Says: Compete in Giving Care,,"As we discussed not too long ago, I recently had an epic party with some Stoics. And, by party, I mean, I hung out with some of the",+1s,Relationships
#1085 Relationship Bid Math,How's Yours?,,"In our last +1, we talked about being Efficient vs. Effective. Efficiency? It’s GREAT for managing our time and completing tasks. Not so",+1s,Relationships
#1086 Bid Math Part 2,Addition by Subtraction,,"In our last +1, we hung out with Jon Gottman and learned that successful marriages feature partners responding to one another’s bids. (Did",+1s,Relationships
#1141 To Say “I Love You”,One Must Know First How to Say the “I”,,"In our last +1, we hung out with Emerson and practiced our Squeezy-eze. As you may recall: Squeeze. Squeeze. Squeeze. = I. LOVE. YOU!!! (You",+1s,Relationships
#104 The iPhone Effect,How to Immediately (+ Easily) Boost the Quality of Your Interactions Today,,Have you ever heard of “The iPhone Effect”? Get this: Imagine bringing people into a lab. Split them into two groups. One group sits,+1s,Relationships
#26 Celebratory Love,Gratitude’s Generous Cousin,,"In the last couple +1s we talked about the power of Gratitude and Grateful Flow. (You try them out yet? 😃) Today, let’s talk about",+1s,Relationships
#135 Repairing Relationships,A Key Practice for Optimizing the Love in Our Lives,,In our last +1 we chatted about the difference between FALLING in love and STANDING in love. It’s easy to fall in love. It’s,+1s,Relationships
#158 Deep Love Time Blocks,When’s Your Next Time Block?,,We’ve talked a ton about Deep Work and going Deep in general. But let’s get more specific and make sure we’re prioritizing not just,+1s,Relationships
#365 Fingers and Lectures,Remember: Attend Your Own Lectures,,"Please extend your pointer finger and shake it as if you’re lecturing someone — saying something like, “You shouldn’t do this, this",+1s,Relationships
#615 There Are No Perfect Relationships,And We Won’t Be the First Couple to Have One,,"A couple +1s ago, we talked about Optimizer Jessica’s kind words and then had fun talking about Mr. Anonymous Troll Guy as well. 🤓",+1s,Relationships
#721 Encourage,"To Inspire with Hope, Courage and Confidence",,"Not too long ago, we talked about the shiny new Optimize Virtue Meditation we’re working on as part of our Optimize Coach program. I’ve",+1s,Relationships
#722 Encourage - Part 2,Making the Case for Elevating Its Status,,"In our last +1, I made the case for why the virtue of encouragement should be elevated to its proper status in the pantheon of how to best",+1s,Relationships
#880 Jesus on Motes and Beams,"Ignore One, Focus on the Other",,"In our last +1, we talked about lint on the projector’s lens and the fact that, as per Byron Katie, “every perceived problem appearing",+1s,Relationships
#881 Prescribing Medicine for Your Neighbor,← Is Crazy. YOU Need It!,,"In our last +1, Jesus joined the party and helped us take the BEAM out of our own eye rather than point out the sawdust in everyone else’s",+1s,Relationships
#907 “How Am I THAT?”,"Well, How Are You?",,"Continuing our exploration of using interpersonal challenges as fuel for our flames and brightness, let’s talk a little more about how to",+1s,Relationships
#32 Active Love,How to Get Out of a Mental Maze When Someone’s Annoying You,,"Here’s another really powerful tool from The Tools guys, Phil Stutz and Barry Michels. Use this tool whenever you find yourself in one of",+1s,Relationships
#34 The Science of Self-Compassion,Three Keys: Self-Kindness + Common Humanity + Mindfulness,,"As we go ALL IN on Optimizing our lives, it’s easy to get overwhelmed. That’s when the science of Self-Compassion comes in. The science",+1s,Relationships
#183 How to Get Super Shiny,Hint: Don’t Get Irritated by Every Rub,,"In our last +1, we had fun applying Rumi’s wisdom that God turns us from one feeling to another so we have two wings to fly and not one.",+1s,Relationships
#256 Practice What You Preach,A Sermon on the Good Samaritan,,The other day Alexandra and I were on a walk with Eleanor when we saw a dog that appeared to be lost. It had a collar and was acting sweet,+1s,Relationships
#366 How to Child-Proof Cover Your Trigger Buttons,Annoyed? Ask: How Am I That?,,"In our last +1, we talked about shadows and attending your own lectures. Let’s continue the theme and talk about a great idea from The",+1s,Relationships
#401 Love 2.0 (vs. Love 1.0),Ready to Upgrade Today?,,Barbara Fredrickson is one of the world’s leading positive psychologists. She wrote a book called Love 2.0 in which she challenges us to,+1s,Relationships
#418 Vulnerability Hangovers,Ever Had One?,,Brené Brown tells us that what we all really want from other people is for them to be authentic. And that means we need them to be,+1s,Relationships
#435 Other Image 101,What Do You See in the Faces of Those You Meet?,,"In Self-Image 101, we talked about how to create the most heroically awesome version of yourself by integrating the “Optimus” you and",+1s,Relationships
#439 Rat Poison,Eat Any Lately?,,Pema Chödrön tells us that being mad at someone and holding a grudge is kinda like eating rat poison and thinking the rat will die. Last,+1s,Relationships
#488 The Golden (+ Platinum!) Rule,How’re You Treating Others? AND… Yourself?,,"We’ve all heard of the Golden Rule. But, today I have three quick questions: 1. Do you know just how ubiquitous that Golden Rule is across",+1s,Relationships
#573 Love 0.0 + 1.0 + 2.0 + 3.0,Optimizing our Love Operating Systems,,"In our last few +1s, we talked about MMA Champ Champs, Olympic pankration fighters and Teddy Roosevelt’s Optimizer in the Arena. Today",+1s,Relationships
#574 Love Kryptonite,Strikes 8 Billion Times Per Day (in the US Alone),,"In our last +1, we talked about Love. Specifically, we talked about Love 0.0. Love 1.0. Love 2.0. And, Love 3.0. Today, we’re going to",+1s,Relationships
#727 Looking for Love (2.0),Finding Those Micro Moments of Positivity Resonance (TODAY!),,"As we’ve discussed, I absolutely love Love 2.0 by Barbara Fredrickson. As a super-introverted guy, it’s easy for me to get lost in my",+1s,Relationships
#739 Grateful (Love) Flow,Yoda’s Laws of Action: Part 4,,In our last few +1s we talked about a few Tools Phil Stutz encouraged me to consider employing as I prepared to launch our inaugural,+1s,Relationships
#757 Watering the Things That Matter,What Needs Some TLC Today?,,"As we’ve discussed, I’m not the best gardener. Nor am I the handiest of men. (And let’s not forget that I’m pretty bad in the",+1s,Relationships
#759 Whineysaurus Part X,Got a Name for That Whiney Guy/Gal Within?,,"Not too long ago, we talked about The Mystery of the Hairy Fingers. That +1 featured the prickly little guys that got lodged in Emerson’s",+1s,Relationships
#823 Love 1.5,Right There Between Love 1.0 and Love 2.0,,"The other day my wonderful Physical Therapist/Peak Performance (Optimize!) Coach, Dr. Julie Beck was doing her thing getting my wrist back",+1s,Relationships
#983 Love Power,The Heartbeat of All Power,,"In our last +1, we took a moment to celebrate the power of friends as we had fun with our new favorite phrase: “Friend Power.” I’m in",+1s,Relationships
#107 Hērōs,Building Strength for 2,,"Speaking of heroes and the reverse indicators we can expect to see on our heroic, dragon-slaying quest(s), do you know what the word",+1s,Relationships
#1119 Soul Mates 2.0,How to Find One and How to Be One,,"The other day we took a quick look at my Gratitude journaling. I shared my “Thank you, God for blessing me with…” reflections for",+1s,Relationships
#1120 Love in Action,Leo Buscaglia and the Johnson Love Story,,"In our last +1, we upgraded our conception of Soul Mates to Soul Mate 2.0. (At least I did! 🤓) Before we jump into the wisdom for",+1s,Relationships
#1121 Let’s Not Underestimate the Power of…,"A Smile, a Kind Word, a Listening Ear…",,"In our last +1, we had some fun with the “How’d you two meet?!” Johnson Family Love Story. Alexandra: “I’m going to marry",+1s,Relationships
#1124 May I Speak With Your Supervisor?,I Want to Tell Them How Awesome You Are!,,"In our last +1, we spent some time with Seneca and the Buddha and Walter Russell—reminding ourselves of the importance of doing the",+1s,Relationships
#1150 Cover It All in Leather,Or… Just Wrap Leather Around Your Feet,,"In our last +1, we tapped into some wisdom from Brené Brown’s Braving the Wilderness as we wrote ourselves a permission slip and then",+1s,Relationships
#1186 Astonishing Connection,And How to Create It,,"In our last +1, we talked about how to tap into our Flow Superpowers. We referenced Steven Kotler’s gem from The Rise of Superman and then",+1s,Relationships
Awareness,The Perils and Opportunities of Reality,Anthony de Mello,"Anthony de Mello was a Jesuit priest who integrated Eastern and Western ideas into his teachings and in this Note, we'll explore some of his Biggest Ideas on how to live from a place of deep connection and awareness. We'll learn how to get over our fears and quit driving with our brakes on plus the importance of looking at life as a symphony with ever changing rhythms and music that's only enjoyable to the extent we don't try to hold on to any one note.",PhilosophersNotes,Relationships
Gay and Katie Hendricks,,Gay Hendricks,Gay and Katie Hendricks are among the world's top relationship experts. In this Note we'll check out some Big Ideas on how to get our Love on—including the importance of appreciation and the need to create at least a 5:1 ratio of positive interactions to negative interactions if we want to have great relationships. (Did you know that when you appreciate people their value appreciates?! Yepperz!) Plus we'll look at the importance of re-committing and the acid test of healthy relationships.,PhilosophersNotes,Relationships
Harry Potter and the Half-Blood Prince,,J. K. Rowling,"Welcome to Harry Potter #6. We kick this adventure off with an amusing scene featuring our former Minister of Magic Fudge, his successor Scrimgeour and ‘The Other Minister” for the muggles. As with all the others, this one is packed with wisdom. Big Ideas we explore include: the importance of friends (Dumbledore and scientists agree!), liquid luck (remember the U Curve—too much of a good thing *isn’t* a good thing), cleverer than most? expect correspondingly huger mistakes, the placebo effect and Ron’s goalkeeping, and walking into the arena with your head held high.",PhilosophersNotes,Relationships
Play,"How It Shapes the Brain, Opens the Imagination, and Invigorates the Soul",Stuart Brown,"Play! Stuart Brown, one of the world's leading play researchers, tells us that it's more important than you may think. We'll take a quick look at why it's so important, why you don't want to be a sea squirt and how to make your life one big sand box while infusing more joy into your life.",PhilosophersNotes,Relationships
Rethinking Narcissism,The Secret to Recognizing and Coping with Narcissists,Dr. Craig Malkin,"Dr. Craig Malkin is an author, clinical psychologist, and Instructor of Psychology for Harvard Medical School. He’s also one of the world’s leading authorities on the science of narcissism. In this book, he shares “The bad—and surprising good—about feeling special.” The short story? Narcissism is a lot more nuanced than we might have been led to believe. Big Ideas we explore: the Myth of Narcissus, the Spectrum of Narcissism, healthy narcissism (no, that isn’t an oxymoron), how to bring it forth in our lives, and the passionate life (passion + compassion = magic!).",PhilosophersNotes,Relationships
Spiritual Evolution,"How We Are Wired for Faith, Hope, and Love",George Vaillant,"George Vaillant is a psychiatrist and Harvard professor who, for 35 years, led Harvard’s 70+ year Study of Adult Development. (You learn a thing or three when you follow the development of teenagers as they grew into great-grandparents.) In this book, he tells us that we can evolve spiritually. Leaning on his experience running Harvard’s study plus cultural anthropology, ethology and neuroscience, he walks us through the biological underpinnings of the positive emotions that make up our spirituality: faith, love, hope, joy, forgiveness, compassion and awe.",PhilosophersNotes,Relationships
The Courage to Be Disliked,The Japanese Phenomenon That Shows You How to Change Your Life and Achieve Real Happiness,Ichiro Kishimi & Fumitake Koga,"This is a book about Alfred Adler's approach to psychology. Adler was a contemporary of Freud and Jung. Although not as widely known these days, he was one of the most influential psychologists of the twentieth century. As per the sub-title, the book was originally a “Japanese phenomenon.” It was written by Ichiro Kishimi (an authority on Adlerian psychology who translated a couple of Alfred Adler’s books into Japanese) and Fumitake Koga (an award-winning professional writer). Big Ideas we explore include the primary difference between Freud and Adler (hint: etiology vs. teleology), the importance of ""separating tasks"" (aka: stay out of other people's business and don't let them in yours), the ticket to freedom (hint: the courage to be disliked), the center of the world (<- is not you), and Adler's guiding star (happiness defined as contribution!).",PhilosophersNotes,Relationships
The Four Agreements,A Practical Guide to Personal Freedom,Don Miguel Ruiz,"Don Miguel Ruiz's classic has inspired millions. From being impeccable with our word and not taking things personally to not making assumptions and always doing our best, we'll have fun exploring his four agreements and how we can apply them to our lives TODAY!",PhilosophersNotes,Relationships
The Man Who Tapped the Secrets of the Universe,,Glenn Clark,"Walter Russell was a 20th century genius, a renaissance man who excelled in the sciences, arts, sports and life in general. He was also a deeply spiritual guy and this book captures his wisdom on the art of living well. We'll look at the importance of connecting to the Universal Self, focusing our intention, and trusting the Divine Intelligence that's guiding our actions as we give our gifts in greatest service to the world.",PhilosophersNotes,Relationships
The Power of Myth,,Joseph Campbell,"Ah, The Power of Myth. This book is based on the amazing PBS interview series Bill Moyers did with Campbell shortly before he passed away and captures some of the 24 hours of filmed wisdom that hit the cutting floor. We'll learn how Campbell came up with the admonition to ""follow your bliss!"" (hint: it's from the Upanishads), the importance of loving our fate, how we're helped by hidden hands when we really commit to our paths and so much more.",PhilosophersNotes,Relationships
The Way of the Superior Man,"A Spiritual Guide to Mastering the Challenge of Women, Work, and Sexual Desire by David Deida",David Deida,"Deida definitely pushes some edges with his work and this book was hugely transformational for me. Guys: you'll dig it. Ladies: your guys will dig it. In the Note, we'll explore some Big Ideas on the importance of living on purpose, not making excuses, giving our gifts to the world, being willing to change and committing to growth and love. Powerful stuff.",PhilosophersNotes,Relationships
Mommahood 101,How to celebrate motherhood—the most creative work of your life! (special guest teacher: Alexandra!),,"In this special class, my wife Alexandra joins us to share her Top 10 Big Ideas on how to celebrate the most creative time of your life. Discover how to mother from your essence, be a self-care queen, ignite your desire power and see your mothering as holy work + invisible art as you bring more fun and play and mindfulness into your heroine’s journey.",101 Classes,Parenting
Fatherhood 101,How to win dad of the year while doing your life's work,,"Did you know the word “parenting” comes from the Latin “to bring forth”? Yep. Begs the question, what do YOU want to help bring forth in your kids?! In this class, we explore 10 of my favorite Ideas on how I’m approaching fatherhood and going for dad of the year while doing my life’s work.",101 Classes,Parenting
Self-theories,"Their Role in Motivation, Personality, and Development (Essays in Social Psychology)",,"Carol Dweck is one of the world’s leading researchers on the science of motivation. This book is a collection of brief essays on various aspects of “self-theories.” It’s essentially a bridge between her extensive academic research studies and her popular book Mindset. It’s amazing. Big Ideas we explore include the two frameworks (entity vs. incremental) and their two goals (performance vs. learning), attributional retraining (aka learning the best way to respond to failure!), and moving from contingent self-worth to wholehearted self-esteem.",PhilosophersNotes,Parenting
Grit,The Power of Passion and Perseverance,Angela Duckworth,"Angela Duckworth is the world’s leading authority on the science of grit. In fact, she pioneered the field and, as Daniel Gilbert says on the cover: “Psychologists have spent decades searching for the secret of success, but Duckworth is the one who found it.” In this Note, we explore the two facets of grit (hint: passion + perseverance, why they’re important and how to cultivate them.",PhilosophersNotes,Parenting
The Path to Purpose,How Young People Find Their Calling in Life,William Damon,"This book is a scientific look at Purpose by one of the world’s leading developmental psychologists—a powerful look at how to cultivate purpose in our children (and, for that matter, ourselves) and why it’s so important. Big Ideas we explore include a definition of what it means to be purposeful (and a look at the alternatives), the #1 thing that gets in the way of discovering and creating purpose, 9 key things parents can do to help their kids with purpose, why entrepreneurial spirit is so important and a four-word mantra to reduce timidity and build courage and confidence.",PhilosophersNotes,Parenting
The World According to Mister Rogers,Important Things to Remember,Fred Rogers,"Did you know that Fred Rogers was an ordained Presbyterian minister who was given the unique charge of working with children and families through television? Yep. Since watching the documentary Won’t You Be My Neighbor?, I’ve fallen in love with the man and his “relentless commitment to all that is best in people.” This is a quick-reading collection of some of Fred’s best wisdom gems gathered from various sources and organized by different themes. Big Ideas we explore include: Your eulogy (in three words!), an enraged Mister Rogers (= fierce love in action), a barrelful of songs (your barrel overflowing?), swimming with Fred (143!!), and making goodness attractive (remember our #1 job: ENCOURAGE others!!).",PhilosophersNotes,Parenting
Many Ways to Say I Love You,Wisdom for Parents and Children from Mister Rogers,Fred Rogers,"This is our third Note on (Mister) Fred Rogers’ books. I read all three over the course of a week after falling in love with the man via the wonderful documentary Won’t You Be My Neighbor? This book, as per the sub-title, is all about “Wisdom for Parents and Children from Mister Rogers.” Like the other books we’ve featured, it’s a super quick-reading and equally inspiring collection of brief wisdom gems from our beloved neighbor. I loved it. And, I’ve been enjoying channeling Mister Rogers’ warmth and presence and wisdom in my role as a father to our two little E’s: Emerson (6 as I type this) and Eleanor (2!). Big Ideas we explore include how to deal with disappointment (big and small!), growing (kids AND parents), the complexity of being a parent, setting limits and the power of saying, ""I'm sorry.""",PhilosophersNotes,Parenting
You Are Special,Words of Wisdom for All Ages from a Beloved Neighbor,Fred Rogers,"I got this book after watching the wonderful (!) documentary on Mister Rogers called Won’t You Be My Neighbor? It's a collection of wisdom gems from various sources-a quick-reading portal into Mister Rogers’ brain that has an amazingly calming, uplifting effect. (At least it did for me.) Simply reading his words seemed to elevate my consciousness and make me a kinder, more patient person. Big Ideas we explore include: Be the best at whatever you are, our #1 Job in life (hint: Encourage others!!), I Like You (just the way you are), being a living example, Mister Rogers' creativity (hello, torture!), perfect parents/kids? (nope!), and the gap (the essence of human creativity).",PhilosophersNotes,Parenting
Mindset,The New Psychology of Success,,"Carol Dweck, Ph.D is a Stanford Professor and one of the world’s leading authorities on the science of motivation. She tells us that our “mindset”—how we see the world—determines a *huge* part of our overall happiness and well-being and achievement. In this Note, we’ll explore the difference between a “fixed mindset” and a “growth mindset” and some Big Ideas on why we want to learn how to live from a growth mindset. And, of course, how to do it!",PhilosophersNotes,Parenting
Parenting Champions,What Every Parent Should Know About the Mental Game,Lanny Bassham,"Lanny Bassham is one of my favorite teachers. He’s an Olympic Gold Medalist and World Champion rifle shooter. He won a silver medal after having what he calls a “mental meltdown” in the 1972 Olympics. Then he spent several hours a day for the next couple years talking to every gold medalist he could find about how they were THINKING while they were performing at such an elite level. In the next Olympics in 1976, Lanny won the gold and then began teaching his “Mental Management System®.” Since then, he’s coached Olympic teams from all around the world and has also worked with the Navy SEALs, Fortune 500 businesses, the PGA and its players and other elite performers in sports and business. He boiled decades of wisdom into his fantastic book With Winning in Mind. He and I connected for an interview and I’ve been personally practicing many of his ideas for years. Then recently sent me a copy of his latest book — this one. I read it the next day. It’s AWESOME. And, well, here we are. Of course, it’s packed with Big Ideas and, as always, I’m excited to share some of my favorites!",PhilosophersNotes,Parenting
Nonviolent Communication,A Language of Life,Marshall B. Rosenberg,"Nonviolent Communication has sold over 1,000,000 copies. Why? It works. There are four key components to NVC: Observations + Feelings + Needs + Requests. In this Note, we'll take a quick look at each of them along with some other Big Ideas to communicate more compassionately.",PhilosophersNotes,Parenting
The Seven Principles for Making Marriage Work,A Practical Guide from the Country's Foremost Relationship Expert,John M. Gottman & Nan Silver,"Want to make your relationship work? Then you’d be wise to turn toward the world’s leading researcher on the science of what makes love work: John Gottman. This book has sold over 1 million copies and it’s easy to see why. Big Ideas we explore: How Gottman can predict divorce with 91% accuracy (in < 15 minutes), a quick look at the 7 principles, the power of cherishing your partner, turning toward (and not being a tech rat), how to solve the solvable problems and starting “I love you” with the “I.”",PhilosophersNotes,Parenting
A Complaint Free World,How to Stop Complaining and Start Enjoying the Life You Always Wanted,Will Bowen,"Will Bowen committed to going 21-days without complaining, criticizing or gossiping and challenged his congregation to do the same. 7 million purple bracelets later, Bowen created a little revolution and in this Note, we’ll check out some Big Ideas on how to quit getting your complaint on. And why you should care. Big Ideas range from shutting down the complaint factory to the fact that we’re all self-made—but only the successful will admit it.",PhilosophersNotes,Parenting
Eat Move Sleep,How Small Choices Lead to Big Changes,Tom Rath,"Eat Move Sleep. The simple, powerful keys to optimal health and well-being. We talk about these fundamentals ALL the time and this is my new favorite book on health. Big Ideas we explore include 10,008 hours and 36 minutes (the magic # of elite performance), candy for cancer cells, the power of measuring whatever it is you want to improve, how to buy willpower at the store, and a vaccine for the common cold.",PhilosophersNotes,Parenting
#17 Bring Forth,How to Be a Wise Parent (for Yourself + Others),,"As you might have noticed, it’s easy to stress ourselves out as we strive to step up to our heroic potential. So… We need to make sure",+1s,Parenting
#52 The Most Dangerous Thing You Can Do While “Multitasking”,Can You Guess What It Is? (Now Quit Doing It!),,We’ve established the fact that our brains don’t have parallel processors like a computer. As much as we’d like to think that we can,+1s,Parenting
#135 Repairing Relationships,A Key Practice for Optimizing the Love in Our Lives,,In our last +1 we chatted about the difference between FALLING in love and STANDING in love. It’s easy to fall in love. It’s,+1s,Parenting
#158 Deep Love Time Blocks,When’s Your Next Time Block?,,We’ve talked a ton about Deep Work and going Deep in general. But let’s get more specific and make sure we’re prioritizing not just,+1s,Parenting
#366 How to Child-Proof Cover Your Trigger Buttons,Annoyed? Ask: How Am I That?,,"In our last +1, we talked about shadows and attending your own lectures. Let’s continue the theme and talk about a great idea from The",+1s,Parenting
#428 Antifragile Affirmactions,How to Use Micro-Moments of Frustration to Grow,,"Today we’re going to have some fun mapping out how to use micro-moments of frustration to catalyze the next-best version of you,",+1s,Parenting
